character,dialogue
"Transcribed by Joan the English Chick (<a href=""mailto","pisces@englishchick.com"">pisces@englishchick.com</a>)."
<b>Transcriber's Notes,"</b><ul><li>I do not own the characters or situations of BTVS, and I claim no credit for the content of this episode. I have merely transcribed what appeared on my screen, with help from the closed captions.<li>I prefer that you link to this transcript on the Psyche site rather than post it on your site, but you can post it on your site if you want, as long as you keep my name and email address on it. Please also keep my disclaimers intact.<li>You can use my transcripts in your fanfiction stories; you don't have to ask my permission. (However, if you use large portions of episode dialogue in your fanfic, I recommend you give credit to the person who wrote the episode.)<li>I apologize in advance for my lame transcription of the fight scenes. I don't know the names of different punches and kicks. Use your imagination.</ul>"
BUFFY,Riley!
RILEY,"Know you got a lot on your mind. You decide you wanna let me in on any of it, you let me know."
GILES VOICEOVER,Previously on <i>Buffy the Vampire Slayer</i>...
RILEY VOICEOVER,Buffy's like nobody else in the world. But she doesn't love me.
SPIKE VOICEOVER,"Buffy, I love you."
SPIKE,"Oh God, no."
DOCTOR VOICEOVER,Your mother has ... a brain tumor.
Episode begins,"Fade in on a pair of shoes. Pan across the body of Dawn, lying across several hospital waiting room chairs. The camera pulls out and we see that Dawn is asleep with her head in Buffy's lap as Buffy strokes her hair. Riley sits next to Buffy, dozing off. Buffy sighs."
GILES,Just me. Sorry. Can I get you anything?
BUFFY,"No, thank you."
GILES,Riley?
RILEY,"No, I'm fine."
WILLOW,What time is it?
XANDER,"There's a clock behind you, Will."
WILLOW,"(pouty) I know, but there's a watch right above your hand."
WILLOW,That can't be right. (Turns to look at the clock above nurses' station) Oh.
BUFFY,I can't stand this. What's taking so long?
RILEY,It doesn't mean anything.
BUFFY,You think?
RILEY,"I'd worry more if your mom was out of surgery quickly. Might mean that, you know, they couldn't do much."
DR. KRIEGEL,"Okay, your mom's in recovery."
BUFFY,"What happened, is she all right?"
DR. KRIEGEL,"It was possible to visualize the tumor completely, which means I was able to get all of it. So, barring complications in recovery ... I think your mother's going to be fine. (Everyone reacts with relief) Of course we're still going to have to watch your mother carefully, and, uh, have her back in here for some follow-up testing, (Buffy nods) but, uh, overall I'd consider the procedure a complete success."
BUFFY,"(hugging Riley) Oh my goodness, doctor, thank you, thank you so much."
DR. KRIEGEL,"Please, it's my pleasure."
BUFFY,Sorry. Sorry!
Cut to,"exterior shot of Xander's apartment building, night."
Cut to,"interior of Xander's apartment. Xander, Anya and Dawn are eating Chinese food around a low table."
DAWN,"When I was younger, I used to put my chopsticks in my mouth like this, (She puts chopsticks into her mouth so they stick out like very long fangs) and then Buffy would chase me around the house yelling, (makes claw hands) 'I'm the slayer, I'm going to get you!' (Laughs)"
ANYA,That's disturbing. You're emotionally scarred and will end up badly.
DAWN,"(removes chopsticks) No, it was great. I mean, she didn't actually stake me in the heart, you know."
